,Customer Name,Customer review
234,Natgas Guy,"I bought this tracker to count walking/running steps, time elapsed and distance traveled. Time and steps are recorded accurately. However, distance traveled is “steps X stride length” and the app doesn’t allow the user to enter his stride length. Instead (apparently) the app estimates stride length based on user height. Based on prior measurements, the stride length estimate is low for me resulting in distance calculations about 15% low. I am trying to compensate by increasing “my height” but haven’t found the sweet spot yet. Sent email to company asking for a height/stride length conversion chart but no response. Regarding other features, I don’t use the other features so can’t comment."
235,Sharon,"Love the watch so far. Only had it a few days, but so far, so good."
236,Dec,It is a little bit difficult to figure out at 1st but after you figure it out it's a very useful tool to help through everyday life and exercise
237,Amc,"Pros: Came in time Nice looking watch Good battery life Good at track heart rate  Cons: Does not link to Samsung health for those with Samsung devices Steps tracking is very inaccurate (depending on your daily life). I was on the elliptical with mine to track my heart rate and it was also counting steps. So I had an extre 4000 steps it counted from me being on the elliptical.  For its price, I'd say it's fair. But I am returning it."
238,K.B.,"Pros: small and lightweight for tiny little wrists like mine, good battery life, and the functions work done. Cons: phone location has to be on all the time to sync to the app, can't turn off the feature to lift your wrist to light up the screen, it's either always on or it turns on as you move (annoying during sleep), can't change the screen layout, app interface is subpar"
239,Kathryn,"My daughter loved this watch - while it worked. Now it only displays the day and time. It will not connect to her phone and you cannot scroll through to use any features. There is no customer service for this product, so BUYER BEWARE!! The product website is super sketchy and the link to request support is not a valid. Their 12-18 month warranty is totally bogus. Try another brand. One person found this helpful"
240,Olivia,I purchased one of these watches about 1.5 years ago and it did better than expected until the entire face popped off. But I want too upset about it since it had lasted me about a year and I was a little rough on it. I bought my second one two months ago and much to my dismay the touch features have stopped working and I cannot navigate the face of the watch. Not sure what happened there.
241,Stuck in Gumbo,"I am extremely pleased with this watch. Have had quite a few before this one, including a couple of Fitbits, and feel this is the best, especially for the price. One thing I like very much is the length of time between charges. For me, being able to track my sleep every night without having to worry about the amount of charge every day is a real plus...I haven't tested it in terms of the days it lasts, but I would say it is easily eight days between charges. Another nice feature is the fact that it involves only one button press to access the functions, as opposed to some watches which have three..or four...always a pain to remember which one is which. I also like the fact that I can shower with it on with complete confidence that it is waterproof. You can believe the following or not, but it is true. About a week or two after I purchased it, I accidentally managed to put it in the wash with my clothing. Okay..I am an idiot. At any rate, when I discovered it, and before putting it in the dryer, I checked it and it immediately came on as if it had never gone into the wash...no condensation, no nothing...it was simply cleaner than when it went in...I highly recommend this watch to anyone! 127 people found this helpful"
242,Chris,Sleep tracking isn’t very accurate.
243,Raquel Tellez,"Very good fitness watch for price. I like that it looks like a smart watch and it doesn't look oversized on my little wrist. The app kind of sucks though. It doesn't track sleep accurately. It also un-binds unexpectedly. That aspect sucks only because my alarms don't go off and it screws my day up a little. GPS is pretty good and so is the running tracker. I like that I get sms,SMS, email, messenger alerts..I can't reply on watch, but I didn't buy it for that purpose, so I don't really care lol. Battery life is also very good and the music controller is very cool and convenient feature to have on your wrist especially when your exercising. All in all, I love the watch. The app needs serious improvement though..I will be getting my son once of these despite minimal annoyances with the app. Good buy. Good price. "
244,Nan,Got this for my adult son with Down syndrome as a replacement for another tracker that stopped working. He loves it and had no trouble with it. One person found this helpful
245,Latika Proctor,"I love how this watch has a battery life that's unheard of, I purchased this watch last month and only charged it once when I first received it. So amazing!!!"
246,PC,"This watch is a good value and fairly easy to use but there are some problems for me. The first, it’s made in China. That information was not available in the Amazon description. If I had known that, I would never have ordered it because I’m a firm believer in Made in America. Second problem - don’t rely on the directions for help. They are written in such a small font and a small manual that even with my glasses and a magnifying glass, I could not read them. It would be nice to be able to change the watch display face but I can’t figure out how to do that. Third problem - I’ve had the watch for a week and the pink band is already showing wear. I foresee it looking dirty and worn very quickly. Also, the band is very long and the piece of plastic that is supposed to hold it in place doesn’t. It slides around a lot and is very annoying. This watch does as described and has a nice bright display. It is a good bargain for the price. It can be operated without directions (I’ve had fitness watches before so I have a experience with their setup) if you know what you are doing. 24 people found this helpful"
247,Brenda L.,I like my fitpro except that it's has sensitivity issues from the start. I should have gotten it exchanged but never did. The light turns on and off when I roll over at night. It randomly ask if I want to change my display at least 10 times a day. When I try to swipe it won't respond. I didn't exchange it thinking it was me doing something wrong but it was the equipment. Ugh I really wanted it to work correctly.
248,Angelica Figueroa,I like this watch so much I wanted a fitness watch to watch my steps and calories and this does that plus more ! You can change your music like skip forward or back which is good and it can check your blood pressure tooo. It’s super cool and it literally lasts me like a week without charge
249,Clint,"In the description it says this watch will notify you of calls, sms and emails, guess what? It doesn't, I tried for two days to figure this out with no luck, instruction booklet doesn't even tell you how to turn it on or off, never figured that part out, I did get it to come on by hooking the charger to it. I don't recommend this at all, returned for refund."
250,L. Senio,I bought this originally for the heart monitor due to health concerns for my daughter. She loves this watch. She has an iPhone and it is sending her - her texts and is able to use it for heart monitoring and more. I am really surprised by the quality for the price. One person found this helpful
251,A. Gunia,"This watch replaced my Fitpolo H706 I've had for a long time that wasn't holding a charge and band broke. I am so glad to purchase this watch! I charged the battery two weeks ago, and it still has 18% life...incredible (see pic). Also the watch displays a weekly summary of my fitness goals as well as daily totals for steps by just gliding my finger up on the main screen (see pic). The timer function has been awesome to use when cooking/grilling. The VeryFitPro solftware for my phone is easy to use, and connected effortlessly via bluetooth to the watch to keep track of my daily activities. I can even control music playing on my phone via the watch...pretty cool. The band is really comfortable on me. All in all, this is a great fitness trackiner/watch for the money given all it can do. I highly recommend it.  2 people found this helpful"
252,Crissy Steinhaus,"The sleep tracker does not work if you toss and turn too much. And the connecting to text feature is shoddy, but for the price- I'm pleased. You can't expect Apple quality when you're only willing to spend 30 bucks. So if you're willing to let go of some features, it's a great ""dup."""
253,Emily,"I honestly really like this watch! People keep thinking it's an apple watch. It's really sleek in design and is quite adjustable, there's a lot of loopholes. The only reason I gave it a 4 and not a 5 is because the app is honestly stupid. It's not helpful and mine doesn't even load. It does show the time, my texts, and informs me of incoming calls. I can also hang up on calls. It also shows my steps. It does say I should be able to control my music on it, but I cannot figure it out. I don't know if it's user error or what. But also my alarms don't go off on it either which is an advertised feature. So their are pros and cons but I think the pros outweigh the cons. If you're debating it, I say do it! Just try it out and then if you really like it then upgrade. 3 people found this helpful"
254,Michelle,I enjoy this watch the battery last longer than i thought good buy
255,SherryL.,"I have had this watch for about a week and I like that it's simple and provide what I needed. I wanted something that'll tell time, track my workout and sleep. Everything else is a bonus.  Pros: Battery life is excellent. I only had to charge about once a week. I like the magnetic design where you don't have a hole for plugs to collect dust. It's lightweight and easy to keep clean. The app that works with the watch is great.  Cons: Step count is very inaccurate. I have not gone out of bed and I already have 25 steps lol. When you turn your wrist to see time it takes a few sec for the screen to show up.  Reason I am returning: It worked fine for about a week until it gave me a blister overnight. I didn't do anything different from how I have been wearing this watch for the past week. I woke up feeling a bit sore on the skin so I removed it to find a blister right under the watch screen. I don't do water activities or shower with it on. I don't put lotion or sunscreen at where I wear this watch.  So, I liked this watch till today due to the blister. Maybe this particular one is defective but I will be moving on and try a different brand next time.          3 people found this helpful"
256,Charles Nolin,"This watch performs really well , easy to use reliable, long battery life . It does not have all the features of my wife’s Apple Watch but it does everything I want it to ( and more ) and at 1/10 the price . One person found this helpful"
257,Carì,Bought this as a gift she loves it and it worked easily for her.
258,SHAVONNE,I brought one for me and my mom and she loves it. She loves how she doesn't have to keep charging it and I love it so much I now have 2. One person found this helpful
259,hank faber,"It is compatible to the Samsung Versa 2 it replaced, at a very good price. The band is soft."
260,Boilermaker,Most of the functions of watches that cost much more. 1 star off because it can't be set to military time.
261,hahawhat?,This watch has a great heart monitor. It showed me spikes in my heart rate that confirmed what I was feeling that I was able to show my doc confirmed with an EKG. I am so thankful I purchased this smartwatch. Thank you fitpolo.  2 people found this helpful
262,Nicole Parasida,"At first, the heart rate monitor didn't work so then I tried it on my other wrist and it worked. The messaging and music features don't seem to automatically work or I have to do something else to set those up but I don't really care about them so whatever. Would have been nice for this to work with MyFitnessPal but it works with Apple Health which then works with MFP so that worked out nicely. I would have liked to be able to set my heart rate monitor to alert me when I was in range or fell out but I don't think that's possible as this seems to be very simple. The feedback card enclosed with the product goes to an email address that isn't even this company, so there's something off about that."
263,Sigfredo valdes,"I recently lost my fitbit, and decided I wanted to replace it with a less expensive fitness watch. During my research, I came across the fitpolo smart watch, and decided I wanted to try it out. The watch is very similar to Apple I watch in terms of appearance and the software is comparable to Fitbit in terms of function. It has heart rate monitor, exercise app, steps, calories, stairs, even has sleep! Well first of all on the listing it said the battery life was like 3 days. Mine lasted almost 7 days.. Heart rate monitor works fine, i took it for a run and it recorded my data which is nice. You can control your phones music from the watch but it only allows you to skip to next song and pause/play. The timer lets you go as low as you want, which is great for interval training. I like that it throws in the pedometer. Interface is good enough. Overall, this watch represents an incredible value for the money.        372 people found this helpful"
264,Kay Garner,I like it because it tracks my steps my heart rate and it’s a simple watch to use without having to have all of the extras of emails and text messages and all the Internet stuff
265,Amazon Customer,"Extremely long battery life, which is nice. It's probably best suited for someone with an office or low impact job. The screen is scratched and dinged from my normal use, working around livestock and small animals. It also gets a little buggy now and then because I got it a little wet. It was a good buy to see if I actually liked having a smart watch. The timer function is really nice, I've been using it to set study goals for myself. "
266,Amazon Customer,"Bought this over a month ago and am highly impressed. I have small wrists and was worried it would look too big on my arm but it doesn't. It's about the same size as an apple watch and does everything I need for a fraction of the price. I only change this once a week and workout 5 times a week, keep it on while I sleep and everything and the battery lasts forever, especially if you keep the brightness down it'll go even longer. It tracks everything I need, resting heart rate, sleep, workouts, text messages, email notifications, calls, steps, even has find my phone which is helpful and you can set alarms to vibrate so you don't wake your partner. The only thing is the mile tracker isn't extremely accurate, it counts about .90 for every 1 mile, but I always have my phone with me while I run anyways so I track the actual distance with the Map My Run app. Otherwise this watch has blown me away for being under $40!    11 people found this helpful"
267,Ashley Baker,I have no complaints. I really like this watch. Battery life last for days. Charges fast. And does what it is suppose to do.
268,TAM,It's really nice looking people think it's an Apple watch. I think it tracks the steps Accurately It's nice you can check your messages on your watch. The only reason I bought it was so my physical therapist could have my heart rate while I worked out and in the beginning it worked properly and now and it's not working For My heart rate section everything else works fine. The battery life is amazing on this watch. One person found this helpful
269,Michael Meade,"I went from an iPhone to Android phone and iWatch to this watch and am happy. So far so good for the price and function I am happy and would recommend. It was easy to setup and feels cheaper than my iWatch but it is and should feel that way. I wear my watch all the time so time will tell how it holds up and I will update. I did a workout yesterday and I found it easier to launch the workout mode than on my iWatch. Less confusing all you have to do is swipe left, right, up or down. Then to end the workout press the button on the watch. My company uses a point system and the APP you have to install ""VeryFitPro"" syncs to Google Fit (on the Android) and that syncs to my companies APP called Vitality. As you can tell all good and happy customer here now. "
270,Haley Thibodeau,"I have one question though. When I look at the top of it with light shining down I noticed something like a lense. Its barely noticeable, I just don't like the feeling that it could possibly be watching me. But other than that it works pretty good.  One person found this helpful"
271,Romina S.,Good for the price!
272,Lorita Kinman-Agarrat,"I haven’t explored all of the features yet, but so far it’s been great. Battery life surpasses my Apple Watch. It can go 3-5 days before needing a charge vs having to charge my Apple Watch every night. I’m sure it has something to do with how many functions are being utilized but still. We’ll see how long it will last."
273,Kinisha,"Does what it's supposed to do. Only thing I don't like about this watch is that it doesn't have more faces (dial faces). When I looked at the pictures, I thought I saw the time being the same color, but the hour and the colon is a mint blue color while the minute is white. I would like for the them to be both the same color. Other than that, the watch is good for the price. "
274,little_miss_sara,"Love this watch! It tracks my steps and sleep. I've had it a little over a month and have only had to charge it twice. I work in a kitchen, and my hands are constantly in water and I've had no problems with it. It's a great watch and for the price you can't beat it. One person found this helpful"
275,Big Ed,"This was a gift for a 12 year old girl, don't know what she used it for."
276,Patricia,"The watch itself is great, but the software stinks. After my 3rd (each 250$+) fitbit in 2 years, I went with amazfit from amazon. LOVE the watch AND the software AND the price. Fitbit you screwed up one too many times…."
277,EM,"I like my watch lot. I had it for a long time and i can tell I'm very pleased with it.i had it on me all the time, is water resistant (shower with it) and the battery is amazing. The functions are simple to see how much you walk, sleeps and heartbeat and few others. Everything is downloaded on my cellphone to look. Is for simple things if you want lots of things maybe this is not for you. For me is Perfect. "
278,nina,I really like it works very well. Not as smart as a smart watch but pretty close love it
279,Best Reviews,"Want a Smart Watch style watch without the cost of a full featured smart watch? This thing has the best bang for your buck. The features are OK, not a true smart watch but people mistake it for one all the time and are blown away at the low price I payed for it.  I mainly purchased this watch because I couldn't find a traditionally styled watch for the same price with a good alarm function. On this watch I have 10 very customizable alarms set for my work. You are able to set alarms for only certain days of each week which is exactly what I needed. The only pain is you must download and use their app with your smartphone to set your alarms and for the fitness features as well as other settings.  Pros: - cost (no need to worry about losing or scratching) - long battery life. (Lasts weeks for me) -10 alarms (customizable like a smartphone) - sms push notifications (read only) -lightweight and comfortable  Cons: -must use the app for most settings -strap retainer doesn’t stay in place -limited watch face skins (only 4) 25 people found this helpful"
280,Cookj,"If you want a bang for your buck this watch is the way to go.  Pros: Very easy to use. Took 3 seconds to sync if that. You can control alarms, timers, etc right from app. User friendly, not as complicated as the expensive devices yet does the job Nice ability to control your music using spotify (among a few others) Sleep monitor works great Walking and running feature shows calories burned which is nice right on the watch Came fully charged Easy to read manual, though it's not much needed Nice silicone-like wrist band  Cons: Charger is product specific... Will not work with micro usb basics. Do not get text message alerts  Overall I recommend this over the more expensive ones if your looking for the basics.                    6 people found this helpful"
281,Martha Adams,Time
282,Josh O.,"Seems to work well, unsure of how accurate it really is seems like its pretty automated and the battery on mine dies incredibly fast even when.i take.it off the charger it starts at 91% and have to charge every 2 or 3 days on the lowest minimum settings my wifes holds charge all week though"
283,Ana C,"This is the third watch I buy (I discover they have a lifespan of about a year before they go haywire but I figure for 30 bucks it’s a good investment. This last purchase however doesn’t track my sleep, which is one of the most important features to me. Every once in an while it does (without adjusting anything), and then it stops doing it for a week or more."
284,Valerie & Julius Navikas,"As soon as you connect your phone to the watch it will only count your steps if you have your phone with you.  However, I've recently learned that if it isn't connected to your phone then it will count your steps without your phone having to be on you at all times, but the downside to that is you wont get notifications such as texts and calls.  Battery life is exceptional and lasts all week on one charge"
285,Bargain Shopper,Love this watch! Pros: battery lasts for weeks! I love the walking and running option as well as the button that calls my phone to find it even if the ringer is off. Cons: Only four watch faces and I only like one of them. Most of the other watches on Amazon have a hundred options.
286,Barbara A. Warden,"It did not track my steps accurately. My iPhone tracked them better. Unfortunately, I did not realize this until after my return window had closed but the manufacturer gave me a full refund."
287,C. Boettcher,The battery life was too short and it had to be taken off the wrist to be charged. It kept up with my sleep very well but the battery would tend to run low while I was asleep and I would have to go through a whole charging session with synchronizing the watch to the app again.
288,Debbie,"This really tracks well when actively walking out working out but just regular walking doesn't track so well. In a day where I'm not taking a walk it tracks about 1/3 of steps I take. Having said that for the price it is a good value. It is water proof, I like that. One person found this helpful"
289,Melissa K,"I’ve been using this watch for a few months now while working out and the heart rate/bpm and cals burned are consistently inaccurate. I downloaded the app to set my age, weight, etc. thinking that might affect things but it didn’t. Overall I would not recommend this product. Probably best to save up and purchase a Fitbit or more reliable smartwatch."
290,Tan tan,"The battery lasts me up to 5 days or even longer. It stays connected with my phone, supper easy to connected as well, I'm in love with it."
291,R.Short,This was replacement for one my husband broke
292,TAnderson,The app is too complicated and so is the watch. The touch screen doesn't always work. I want to see how many steps I walked I have to look at app as can't find it on watch.cant get manual heart rate if you have it set at auto. Had other watched which were much more used friendly and gave better info.
293,CES,"i used to have an apple watch but tbh it was expensive and i was paying for the service, i feel like it was a waste if i didnt have service on it because it was an apple watch. i got rid of it and later wanted a watch just for fitness which this watch is perfect for. counts steps, has workout trackers for hiking, running , swimming etc. tracks ur sleep, the only thing i dislike is that i wake up always around 3am for a while until i go back to sleep and it cuts off my sleep when i wake up, so itll track 5 hrs when in reality i slept more. idk if there is a way to change that :/ but i love this watch it motivates me to workout and thats exactly what i wanted. 2 people found this helpful"
294,Arik Y.,Nice simple watch (no built in GPS) but about a month of use and the screen went not responding on and off and display is showing in mirror view on and off 
295,Spellbound,"I was pretty impressed with the Very Fit Pro and all it's options it has. I was really impressed with how it is able to tell the difference between deep restful sleep and light sleep and even showed a chart over the night which you find with the mobile app. I was also really surprised by the battery life, used it for 3 full days before it needs a charge! And it even has a menstrual cycle monitor with a reminder to set before it hits again, even included an ovulation monitor too if you want to be aware of those details. Plus it allows you to see music control, text messages and calls coming in. Very pleased with this purchase!!!  One person found this helpful"
296,Meg March,"This is about a half a mile less accurate than my GPS tracking. It says in the description that it uses GPS, but it doesn't. The charger magnets are already rusty, just from my sweat, I think. I did go swimming with it and it worked fine afterwards. The light pink band is dirty and I have not been able to find a way to clean it, so I feel a little bit like I don't want to wear it in public because it is so dirty. Overall I am happy with it, especially because of the price point. I don't see the point of getting a more expensive tracker unless you really need the accuracy of GPS. "
297,C. Balcirak,"Color: PINKVerified Purchase Bought this for my daughter. She wanted an ""iphone watch like her brothers"". Didn't want to spend that much money, especially since I wasn't sure how well she would take care of it. Fortunately this watch is holding up very well. I'm impressed. Even my son (who has an actual ""iphone watch"") is impressed with this watch. I haven't tried all the features, but so far my daughter loves it. and the battery life is very good."
298,Lorraine Powell,"After my Misfit Path broke I was looking to replace it and found this one on line. I like it very much. It took me a while to get it all synchronized and about 2 days to get everything working. So far so good. I've been taking it off to shower even though it says it is waterproof and I think it counts more steps than I actually do. I've been comparing it with another app I have on my phone which records less steps than this new smartwatch. Otherwise I love it. The sleep app on it is very accurate and the alarm is consistent. If you are looking to jump into the smartwatch fad, thean I recommend it for it's inexpensive cost compared to other types out there."
299,TXN GRL,Works great! And looks awesome. I met someone with a very similar Apple Watch but mine actually looked better!
300,Dayna Turner,"It wouldn’t let me upload my video for some reason, but this watch has worked fine for me, I know the reviews are all over the place but I’ve had no problems with the watch I’ve had it for 10 days and it works just fine. I use it to track my steps, my workouts and my sleep."
301,Victoria E. Jones,Excellent product and very attractive.
302,Beverly,Received as a Christmas gift. Very satisfied with it.
303,Sara EV,"Some time ago I wanted a fitness watch and I decided on this one, I only charge it when I arrive and so far I have not had to charge it again, I like its design and size, it is comfortable for the wrist and almost doesn't weigh; I was a little afraid that the watch would be damaged when I took a shower, but it's perfect! It is excellent for its quality / price compared to other watches, it fulfills all its functions and I have not had any problems with it."
304,holsey x bennett,"Heart rate,sleep tracking, exercise activity.."
305,Eileen Lupo,This watch was very easy to pick out because it looked like it had all the features I could ask for and more! It was super cheap especially for what you are getting. I love how quick and easy all the features are with just four simple swipes. You can easily see your heart rate as well as the number of steps you have taken. It's helpful to also see how many active calories you have burned throughout the day as well as the number of resting calories burned during the day. Another great feature is the ability to set an alarm with the app and set a timer for a relaxing mode. I use the sport mode every day which is probably my favorite because I can keep track of the amount of activity I do every day. Definitely recommend this watch it has helped me keep track of my physical health as well as my mental health. 
306,bndjohn,Second one I have had. First one lasted 2 years before wearing out. The pink band is awful impossible to keep clean and dulling after two weeks. Sleep tracker only shows partial data in the mornings but updates later in the day. Settings could be made more user friendly. One person found this helpful
307,Mikki,"I love it because it pretty much does the same thing as the Fitbit, but it’s less expensive. One person found this helpful"
308,Genia Alexander,Does not track your sleep
309,Erica,Watch looks similar to some watch. Easy to sync up to app.
310,LabLover3,"So far, I love this watch. It connects with my phone. It alerts me when I reach my step goal, when I get text messages and FB messages. I haven’t been able to get the Find My Phone feature to work but everything else works great!"
311,Lexxii,Whatever the manufacturer uses for the plastic and watch causes my skin to break out and redden. Works nice though. Need to charge every day to ensure notifications come on the watch
312,Amazon Customer,I found it a bit difficult to set up. It was difficult to read as the numbers were so small for my older eyes. Just not impressed with this watch.
313,Kelly,"I've had this watch for two months now and have used it every day. I've only charged it twice so far! I only really use it for heart rate, to track steps, and alarms but it has a lot of really cool features! I was unsure about buying because the price was so low, but honestly it seems just like an apple watch without being able to return texts on the watch. It's motivated me to walk 4 miles every day and keep walking at the end of the day until I hit my 10,000 steps! It's a great motivator to be able to really count what work you're doing and the little buzz the watch does when you hit 10,000 steps feels great!"
314,J. E. S.,"For what’s just a fraction of the price that the big brands charge, this is a really solid smart watch. I use it in weightlifting to time my rest periods and check on my heart rate from time to time. The heart rate seems accurate and the timer function is much easier to use than fumbling with a phone. The battery lasts for a very long time and the strap is comfortable, so it’s a convenient thing to just pick up and out on before hitting the gym. I also found customer service to be very responsive to any questions that I had, which is not something I’ve always experienced with other manufacturers. As long as you’re not expecting all of the smooth functionality of watches multiple times as expensive, I think you’ll be happy with this one. "
315,Angela,"I have been wearing this watch since I got it a few days ago. It seems to have a good battery life, I get messages from my smart phone right away and it tracks my sleep, steps and heart rate. I am very happy with my new watch It was the best purchase of a smart watch I could buy. very happy."
316,Kelly N.,
317,alabee,"I bought this watch to track my sleep because I’ve been waking up in the night. The watch/app didn’t track that I was awake for a full hour last night- I’m fact it said I was in deep sleep for the times I was awake. the watch was confusing for me to setup, the instructions aren’t very clear. The app just isn’t good."
318,aurora alfaro,"I have bought many watches like this in the past and all of them ended dead after getting in the pool, touch rain etc this one has past the test so far, great look, battery last many days , compatible with iPhone ! "
319,D.G. Christy,"This fitness tracker is a good value for the money. However the accuracy could be better. For instance, it tracks about 800 steps fewer than the Apple app on my phone. Now, who's to say Apple app is that accurate? As a result, the mileage on runs and walks naturally tracks less on the watch and app in comparison to the Apple app. The GPS tracking is right on the money though.  It picks up phone calls, and calendar but the SMS messenger does not work (possible operator error here).  Bottom line, this watch is a good value for the money."
320,Tito,"Smart Watch cumple con lo que se describe, durabilidad de batería, material ligero.  Por el momento todo bien..    Helpful"
321,girlygirl77,Was skeptical about the item but the tracking ability is pretty reliable. Used Fitbit for months with very inaccurate calories burned daily but this item tracks it all very well. It's a 4.5 star for me.
322,Denise,"I like the watch but...... It's not like my other watch I have, it didn't have info of the weather and the heart monitor doesn't detect most of the time when I move. Having troubles hooking up to Bluetooth it says connected but doesnt show up on my phone. Other than those issues it's a good watch for the price."
323,Leticia Neria,"I have had this watch for some months now, and it was a great purchase. It is not very accurate but it helps me to have an idea about how much I'm walking, calories burned, and if I need to move a little bit more. I have an app in my mobile to track distances and the difference is not small (not very big, though), but, for what I paid, it does the trick ;-) 2 people found this helpful"
324,Beverly Schaner,Doesn't notify for texts or messanger. But for what you pay not bad. Also no instant check on heart on the device.
325,Amazon Customer,"Accurately tracks sleep, fitness and steps. Does what I need it to do and is reliable especially while I'm on the go."
326,Recycled Mastiffs' Mama,"I'm updating my review due to receiving a full refund. Very good customer service.  We bought two models, an older one and then the next version. Somehow I guess I thought the 2nd production release was going to actually work, which it does not.  The sync function does not meld, the app isn't friendly with all phones & the charger disengages if the wind blows, with you none the wiser."
327,DeAnn M,I dislike the instructions to me not very clear. I had so many question. There is a number for you to call. My schedule was very busy so I had to play around with it for about a week on my own. Work great with my water aerobics class. You have to use the workout button for almost everything. You have to guess what the small icons on one screen represent. I hate that when I go to sleep and wake up for awhile the sleep mode doesn't register my next sleep time. Also I notice my workout time doesn't register my steps while working out. Now that's all the bad. The good... Once you learn the watch it is a great watch and tracker. Large screen. Download my information to my phone quickly. I turn on my bluetooth after each workout and then turn off. I recommend this fitpolo for anyone looking for a good product and low price. One person found this helpful
328,GKR,This product ONLY does what the headline says. Save your bucks for a model that does more.
329,Bgtrrz,"I purchased this for the activity tracker, so far so good. Long battery life, and does what I expected. I do not wear for sleeping I can't speak to that, but it's a decent fitness tracker. Recommend for the price."
330,Britt Celusta,"Got this for my husband for Christmas since we couldn't afford anything better. Its not bad at telling time and tracking heart rate, but the step counter is so far off. He works in the medical field and does welllll over 12000 steps a shift, but the tracker only records about 4000. 2 people found this helpful"
331,Dale Davis,I purchased for my mother! She has dementia and Parkinson. She likes to keep track of time. I monitor her sleep and movement. Can’t beat the price. 2 people found this helpful
332,john h. able,Basically a reasonable priced tracker
333,Ken,"This watch is amazing! This is my first time having a fitness watch and for the money this watch is great. All the features are good. The battery life last long. I have gone more than 7 days without charging the phone. I originally bought this watch to help me with my fitness journey but it has helped improved my work routine as well. This watch helps me relax when stressed at work, reminds me to get up and move, and also reminds me of important meetings I have scheduled for the day. Any issues you many have with the watch the support team is fast and efficient with answering. Will definitely be getting another watch soon! "
334,Kelly K,"The watch itself is great, especially for the price. However, I have only worn it for a little over 2 weeks and the pink band has already faded. I just had to order a 2 pack of replacement bands (black and blue) to replace this pink one. That was another $15.00. So although the watch was a good price, it does have added cost if you order the pink one and have to buy new watch bands. But I do love the watch itself. "
335,Maritza Montero Martinez,"Para regalo de padres,espero salga bueno Helpful"
336,Stasi,"I’m cursing this watch for getting me hooked on smartwatches and now I just spent a ton on an Apple Watch. Would have been happy if this watch had worked out - the corner notch that holds the band’s pin broke off randomly while I was wearing it. I’m grateful it was still within the return window. Would have exchanged for a new one if I wasn’t worried same thing would happen again, but I guess you get what you pay for. Loved the heart rate/sleep tracking and vibrating wrist alarms….. "
337,larry f,App is not as good as Soundpeats I had previous version of this watch
338,April,I like this it's very affordable it does everything that I need
339,Suzski,"I purchased this same watch about 4 years ago and it worked fine. I was able to set my goals for walking and sleep. But on this new watch, my second, it will not let me set my goals. It tracks my steps based on 10,000 and my sleep starting at midnight. No way to change it. Sometimes it tells me my heart rate and sometimes not. If feel like it is missing a chip or something. I'm saving up for a Samsung watch. Will not order this one again. It does keep time if that's all you want it for and the battery life is good."
340,mj,Good product for tracking steps. Unfortunately the plastic broke so cant wear it as a watch any more. 3 months is not very long so disappointed. Otherwise it is a good product.
341,Roger N. Garten,Excellent value for the cost.
342,Amazon Customer,It is beautiful and very easy to use but the pink strap faded away too soon. I ordered a replacement if it fades away I will have to return it and buy black or blue sooo sad as I love pink 
343,brittanie,"Just received the product today. Set up was very simple for Adroid phone. Already lost my phone this evening and I remembered the Fitpolo has a find my phone button. My phone rang and it was found thanks to the Fitpolo. Battery life seems good. Took it out of the package with 89% charge, set it up and have used it for eight hrs and it's still at 89%. Not to sure how accurate the active mod is yet but so far with how everything else has worked on it I believe it will be just fine. Also comes with a one year extended warranty. Great buy, great price and nice to know that if something goes wrong it is warranted. I highly recommend this purchase if your looking for a great affordable smart watch! One person found this helpful"
344,Krista,"I absolutely loved this watch at first. It's great quality, thr battery life is outstanding, however, now that its getting nice outside and im walking more im noticing its not very accurate. My phone that I dont always carry tends to have almost 2,000 more steps recorded than my watch. If I set the walk feature it doesn't apply those steps to my daily count which then goes into my weekly summery. If I take a nap or tey to get extra rest that doesn't get recorded, only the night stretch of sleep. Im noticing more and more lately it disconnects from Bluetooth on its own as well. I still wear it regardless because I like that I can get alerts for messages and calls but im sad that im going to have to invest in a new watch for better accuracy. 2 people found this helpful"
345,Surf and Turf,I pools and landscaping and go through watches like crazy. This is the best one I've ever had!
346,Fan'sWife,"Great buy, no regrets! I love all the features it has, easy to use, view and install software. This is a replacement for a thinner one I had, that I liked but could not read without my glasses."
347,Fullerton,BATTERY life is amazing. Magnetic charging cable is really nice. I have had it for 8 days and I haven't charged it since first getting it. I work in a mine so I dont wear it there. But that has been an bout a 48hr or the 8 days. Battery is at 23%. The accuracy of the hr monitor I feel is a little off compared to my old fitbit. Features wise it is like an Fitbit hr 2-3 with better graphics. I cant quite figure out why I dont get texts to it but that is not why I bought it. I bought it as a watch for the kids They always want a smart watch even thought they dont have phones. This will help them teach their activitie and get them more exercise while home schooling. Over all supper happy for the price. 2 people found this helpful
348,C. O.,"The watch seems to work very well when it comes to the Heart Rate and Sleeping, however, it is falling short (very short) on the accuracy of steps. The reason I bought the watch was because I didn't think my Samsung watch was accurate with the amount of steps, feeling it was shorting a good number of them. However, this watch falls well behind my Samsung in the step counts and misses a lot of steps. But it is easy to use and does a good job tracking my sleep and heart rate. Wanted something that tracked my sleep well and didn't need to be charged overnight.  3 people found this helpful"
